twofive,ten,day
4.4,8.2,2022-11-16
4.2,7.9,2022-11-16
4.1,7.4,2022-11-16
4.2,7.4,2022-11-17
4.2,7.4,2022-11-17
4.1,7.4,2022-11-17
4.1,7.3,2022-11-17
4.1,7.4,2022-11-17
4.1,7.5,2022-11-17
4.1,7.6,2022-11-17
4.0,7.5,2022-11-17
4.0,7.2,2022-11-17
3.9,7.2,2022-11-17
3.9,7.2,2022-11-17
3.8,7.1,2022-11-17
3.8,7.2,2022-11-17
3.7,7.1,2022-11-17
3.9,7.2,2022-11-17
3.7,7.2,2022-11-17
3.8,7.3,2022-11-17
3.9,7.0,2022-11-17
3.9,6.9,2022-11-17
3.9,6.8,2022-11-17
3.8,6.8,2022-11-17
3.9,6.8,2022-11-17
3.9,6.8,2022-11-17
3.8,7.1,2022-11-17
3.9,7.3,2022-11-18
3.9,7.3,2022-11-18
3.9,7.3,2022-11-18
3.9,7.3,2022-11-18
3.8,7.3,2022-11-18
3.9,7.5,2022-11-18
3.9,7.6,2022-11-18
3.9,7.6,2022-11-18
3.7,7.5,2022-11-18
3.8,7.6,2022-11-18
3.8,7.5,2022-11-18
3.9,7.6,2022-11-18
3.9,7.5,2022-11-18
3.9,7.6,2022-11-18
4.2,7.8,2022-11-18
4.3,7.8,2022-11-18
4.2,7.8,2022-11-18
4.1,7.7,2022-11-18
4.2,7.7,2022-11-18
4.2,7.7,2022-11-18
4.2,7.6,2022-11-18
4.2,7.5,2022-11-18
4.1,7.4,2022-11-18
3.8,7.2,2022-11-18
3.9,7.2,2022-11-19
3.9,7.3,2022-11-19
4.1,7.4,2022-11-19
4.1,7.4,2022-11-19
4.1,7.3,2022-11-19
4.2,7.0,2022-11-19
4.2,7.0,2022-11-19
4.2,7.1,2022-11-19
4.4,7.1,2022-11-19
4.4,7.1,2022-11-19
4.4,7.1,2022-11-19
4.5,7.0,2022-11-19
4.5,6.9,2022-11-19
4.7,7.0,2022-11-19
5.0,7.3,2022-11-19
4.8,7.2,2022-11-19
4.8,7.2,2022-11-19
4.7,7.1,2022-11-19
4.8,7.1,2022-11-19
4.8,7.1,2022-11-19
4.6,7.1,2022-11-19
4.7,7.2,2022-11-19
4.7,7.3,2022-11-19
4.8,7.4,2022-11-19
0.6,1.6,2022-12-03
1.4,1.9,2022-12-03
